DATE,RCCCBBALTOT
2012-07-01,530.13
2012-10-01,545.31
2013-01-01,516.87
2013-04-01,524.08
2013-07-01,523.91
2013-10-01,541.56
2014-01-01,514.99
2014-04-01,527.78
2014-07-01,534.54
2014-10-01,557.86
2015-01-01,531.89
2015-04-01,546.05
2015-07-01,555.37
2015-10-01,579.77
2016-01-01,555.76
2016-04-01,571.75
2016-07-01,587.99
2016-10-01,618.41
2017-01-01,591.29
2017-04-01,608.44
2017-07-01,621.55
2017-10-01,656.99
2018-01-01,625.57
2018-04-01,641.88
2018-07-01,652.35
2018-10-01,681.87
2019-01-01,650.89
2019-04-01,669.87
2019-07-01,677.66
2019-10-01,714.39
2020-01-01,673.39
2020-04-01,612.94
2020-07-01,599.04
2020-10-01,613.5
2021-01-01,566.22
2021-04-01,585.09
2021-07-01,599.05
2021-10-01,647.49
2022-01-01,632.34
2022-04-01,675.8
